2013-01-01,8749437
2013-01-02,6949829
2013-01-03,6347820
2013-01-04,6638954
2013-01-05,5951593
2013-01-07,10826848
2013-01-08,8749437
2013-01-09,7746603
2013-01-10,7751485
2013-01-11,8039306
2013-01-12,6017491
2013-01-14,5886788
2013-01-15,5512591
2013-01-16,5293020
2013-01-17,5386564
2013-01-18,6137010
2013-01-19,6010192
2013-01-21,8761074
2013-01-22,8320289
2013-01-23,7746563
2013-01-24,7439836
2013-01-25,7780789
2013-01-26,5848770
2013-01-28,5878702
2013-01-29,5452668
2013-01-30,5909779
2013-01-31,7068567
2013-02-01,7203007
2013-02-02,6781741
2013-02-04,10333651
2013-02-05,8841604
2013-02-06,8094803
2013-02-07,7430076
2013-02-08,7968566
2013-02-09,6161019
2013-02-11,5517060
2013-02-12,5563503
2013-02-13,6175147
2013-02-14,6422292
2013-02-15,6255053
2013-02-16,6162142
2013-02-18,10703641
2013-02-19,7988672
2013-02-20,7759768
2013-02-21,7611880
2013-02-22,7840974
2013-02-23,5637945
2013-02-25,5615365
2013-02-26,5671238
2013-02-27,6008503
2013-02-28,7108972
2013-03-01,7244231
2013-03-02,6779350
2013-03-04,11072682
2013-03-05,8943536
2013-03-06,8062941
2013-03-07,7981811
2013-03-08,8118153
2013-03-09,6061383
2013-03-11,6194538
2013-03-12,5338418
2013-03-13,5830737
2013-03-14,6098093
2013-03-15,6783348
2013-03-16,6459058
2013-03-18,10078195
2013-03-19,8528292
2013-03-20,7728892
2013-03-21,7897067
2013-03-22,8245992
2013-03-23,6337911
2013-03-25,10482556
2013-03-26,9305505
2013-03-27,9674698
2013-03-28,11417987
2013-03-29,8245992
2013-03-30,9380402
2013-04-01,10115602
2013-04-02,7362049
2013-04-03,6406442
2013-04-04,6496112
2013-04-05,6622062
2013-04-06,6171054
2013-04-08,10115602
2013-04-09,8418477
2013-04-10,7698779
2013-04-11,7580421
2013-04-12,8056347
2013-04-13,6024315
2013-04-15,5711125
2013-04-16,5668517
2013-04-17,5556697
2013-04-18,5726233
2013-04-19,6349901
2013-04-20,6006147
2013-04-22,9542000
2013-04-23,8047511
2013-04-24,7177730
2013-04-25,7121467
2013-04-26,7652433
2013-04-27,6308284
2013-04-29,10040182
2013-04-30,10565093
2013-05-01,7693180
2013-05-02,9884371
2013-05-03,8967338
2013-05-04,6487719
2013-05-06,6884920
2013-05-07,6697752
2013-05-08,7693180
2013-05-09,8225841
2013-05-10,8481406
2013-05-11,6658662
2013-05-13,9826496
2013-05-14,8662237
2013-05-15,7767784
2013-05-16,7884887
2013-05-17,8225841
2013-05-18,6410461
2013-05-20,9944524
2013-05-21,7204456
2013-05-22,6085235
2013-05-23,6209485
2013-05-24,6483138
2013-05-25,5806559
2013-05-27,9944524
2013-05-28,8390312
2013-05-29,8885059
2013-05-30,3422824
2013-05-31,10913876
2013-06-01,6907750
2013-06-03,10144989
2013-06-04,8526834
2013-06-05,7683188
2013-06-06,7646668
2013-06-07,7967656
2013-06-08,5993792
2013-06-10,6667460
2013-06-11,6201425
2013-06-12,5961024
2013-06-13,6044207
2013-06-14,6887448
2013-06-15,6144832
2013-06-17,10191372
2013-06-18,8100286
2013-06-19,7243757
2013-06-20,7353311
2013-06-21,8406280
2013-06-22,6189413
2013-06-24,6511212
2013-06-25,5827831
2013-06-26,6028195
2013-06-27,6372971
2013-06-28,7625077
2013-06-29,6909121
2013-07-01,10750990
2013-07-02,8936605
2013-07-03,8416942
2013-07-04,8458325
2013-07-05,8384512
2013-07-06,5927036
2013-07-08,6652999
2013-07-09,6157174
2013-07-10,6248496
2013-07-11,6483182
2013-07-12,6699439
2013-07-13,5987351
2013-07-15,11484803
2013-07-16,9157994
2013-07-17,8269168
2013-07-18,8092686
2013-07-19,8376476
2013-07-20,5941848
2013-07-22,6285621
2013-07-23,5767497
2013-07-24,5966755
2013-07-25,6065761
2013-07-26,6270667
2013-07-27,5448670
2013-07-29,11299276
2013-07-30,10064515
2013-07-31,10293490
2013-08-01,8783485
2013-08-02,8085626
2013-08-03,6320830
2013-08-05,7169893
2013-08-06,6366382
2013-08-07,6414477
2013-08-08,6430437
2013-08-09,6589299
2013-08-10,5881545
2013-08-12,11137198
2013-08-13,9179490
2013-08-14,8509505
2013-08-15,7029537
2013-08-16,8137427
2013-08-17,5584570
2013-08-19,6391105
2013-08-20,5989832
2013-08-21,5696932
2013-08-22,5759988
2013-08-23,6035936
2013-08-24,5397910
2013-08-26,10302422
2013-08-27,8397061
2013-08-28,7838558
2013-08-29,7970501
2013-08-30,9221577
2013-08-31,6458023
2013-09-02,6834913
2013-09-03,6322579
2013-09-04,5985810
2013-09-05,5843845
2013-09-06,6121373
2013-09-07,5795003
2013-09-09,11058017
2013-09-10,8946722
2013-09-11,8285894
2013-09-12,8096007
2013-09-13,8371696
2013-09-14,5894325
2013-09-16,6130906
2013-09-17,5785061
2013-09-18,5438193
2013-09-19,5797033
2013-09-20,6042768
2013-09-21,5745122
2013-09-23,9449348
2013-09-24,7922441
2013-09-25,7390563
2013-09-26,7489318
2013-09-27,8267396
2013-09-28,6245049
2013-09-30,7660976
